124074;-181720;48714;25506;1;10
112281;-167178;47977;26415;4;10
110776;-168931;47883;26305;4;10
118680;-168166;48377;26353;2;10
108757;-167556;47757;26391;4;10
106867;-172517;47639;26081;2;10
109145;-169669;47781;26259;4;10
123271;-182385;48664;25464;1;10
113249;-170896;48038;26183;1;10
113901;-169204;48078;26288;8;10
124361;-173371;48732;26028;1;10
113045;-170474;48025;26209;2;10
107769;-176727;47695;25818;1;10
115586;-182361;48184;25466;1;10
110176;-170003;47846;26238;1;10
109010;-168262;47773;26347;8;10
119213;-168149;48410;26354;8;10
106707;-173419;47629;26025;4;10
115716;-183575;48192;25390;1;10
112304;-167915;47979;26369;2;10
107677;-172924;47689;26056;4;10
111097;-169087;47903;26296;8;10
106825;-175864;47636;25872;2;10
123183;-193908;48658;24744;4;10
116196;-178401;48222;25713;2;10
112479;-168143;47989;26355;8;10
110939;-169330;47893;26280;8;10
109825;-170063;47824;26235;2;10
125112;-173053;48779;26048;2;10
110417;-168246;47861;26348;2;10
113365;-170684;48045;26196;1;10
123557;-182049;48682;25485;2;10
111339;-168008;47918;26363;8;10
110005;-171135;47835;26168;1;10
111414;-169650;47923;26260;2;10
117851;-182447;48325;25461;8;10
114405;-178869;48110;25684;2;10
114601;-179330;48122;25655;8;10
106276;-175305;47602;25907;8;10
110695;-167570;47878;26390;8;10
112127;-166557;47967;26454;1;10
110417;-169489;47861;26270;8;10
113682;-169784;48065;26252;4;10
107095;-172632;47653;26074;1;10
107933;-165344;47705;26530;2;10
125327;-173172;48792;26040;4;10
109566;-169036;47807;26299;4;10
111636;-170003;47937;26238;1;10
110154;-168876;47844;26309;4;10
120813;-193557;48510;24766;1;10
109620;-168084;47811;26358;2;10
111388;-167534;47921;26393;2;10
119287;-182140;48415;25480;4;10
112264;-167614;47976;26388;1;10
124745;-173432;48756;26024;8;10
113755;-169787;48069;26252;1;10
107082;-173903;47652;25995;8;10
126195;-172667;48847;26072;2;10
110920;-170980;47892;26177;1;10
105902;-174409;47578;25963;4;10
116048;-178840;48213;25686;1;10
110970;-170039;47895;26236;4;10
109501;-165012;47803;26550;1;10
107578;-176470;47683;25834;8;10
125867;-172532;48826;26080;4;10
111905;-169155;47954;26291;1;10
116071;-178659;48214;25697;1;10
111479;-169076;47927;26296;2;10
109254;-170053;47788;26235;4;10
111581;-168151;47933;26354;4;10
116201;-183378;48222;25402;1;10
