124297;-176695;48728;25820;4;4
119336;-193951;48418;24742;8;4
129256;-183687;49038;25383;8;4
116633;-184396;48249;25339;1;4
129745;-182703;49069;25445;1;4
98956;-173197;47144;26039;2;4
128592;-182885;48997;25433;4;4
128093;-182502;48965;25457;4;4
107637;-176138;47687;25855;8;4
98987;-173045;47146;26048;8;4
120466;-185077;48489;25296;4;4
125921;-180372;48830;25590;1;4
120538;-193190;48493;24789;8;4
105654;-196431;47563;24587;4;4
99010;-173022;47148;26050;2;4
124148;-196368;48719;24591;8;4
99064;-173330;47151;26030;2;4
129391;-181944;49046;25492;1;4
105441;-195521;47550;24643;2;4
128926;-183405;49017;25401;8;4
110315;-174017;47854;25987;4;4
114885;-180269;48140;25597;8;4
120464;-184323;48489;25343;4;4
129089;-181706;49028;25507;8;4
117090;-178905;48278;25682;2;4
108173;-172588;47720;26077;2;4
108190;-172700;47721;26070;4;4
128862;-183156;49013;25416;1;4
120664;-186297;48501;25220;4;4
126366;-177098;48857;25795;1;4
129113;-181678;49029;25509;2;4
122143;-191980;48593;24865;8;4
121023;-187693;48523;25133;2;4
120340;-189131;48481;25043;2;4
123389;-193660;48671;24760;1;4
120488;-184599;48490;25326;4;4
120725;-184963;48505;25303;2;4
105251;-194938;47538;24680;2;4
109873;-173514;47827;26019;8;4
115084;-180330;48152;25593;2;4
120449;-184144;48488;25355;1;4
121425;-187664;48549;25135;4;4
127316;-176980;48917;25802;2;4
120612;-186125;48498;25231;2;4
122248;-191393;48600;24901;1;4
108165;-172546;47720;26079;4;4
114004;-171083;48085;26171;8;4
103832;-186129;47449;25230;4;4
123783;-195924;48696;24618;1;4
109810;-173559;47823;26016;1;4
111598;-173779;47934;26002;8;4
113962;-171115;48082;26169;2;4
126856;-175925;48888;25868;4;4
120514;-193267;48492;24784;4;4
120409;-189813;48485;25000;1;4
126822;-180042;48886;25611;2;4
111430;-173349;47924;26029;8;4
128956;-183370;49019;25403;1;4
121039;-185682;48524;25258;4;4
99259;-166899;47163;26432;1;4
122946;-181590;48644;25514;4;4
122040;-181342;48587;25530;1;4
111641;-173719;47937;26006;8;4
113696;-171452;48066;26148;1;4
120515;-184749;48492;25317;2;4
128100;-182459;48966;25460;8;4
120710;-185015;48504;25300;8;4
120474;-185321;48489;25281;8;4
120428;-189067;48486;25047;2;4
99290;-166881;47165;26433;4;4
130076;-186631;49089;25199;8;4
121028;-187725;48524;25131;1;4
